run_id,resolution,augmentation,optimizer,seed,test_accuracy,avg_epoch_time,total_time,timestamp
R32_advanced_adamw_s42,32,advanced,adamw,42,77.99,18.46,184.63,2026-03-04T12:51:37.063696
R64_advanced_adam_s42,64,advanced,adam,42,77.04,25.67,256.72,2026-03-04T12:55:56.561515
R32_advanced_adamw_s7,32,advanced,adamw,7,77.56,16.92,169.24,2026-03-04T12:58:48.124137
R96_advanced_adam_s42,96,advanced,adam,42,74.22,37.72,377.19,2026-03-04T13:05:08.796844
R32_basic_sgd_s42,32,basic,sgd,42,71.15,6.62,66.22,2026-03-04T13:06:17.195419
R96_advanced_adam_s123,96,advanced,adam,123,73.98,36.97,369.7,2026-03-04T13:12:30.327351
R64_none_sgd_s7,64,none,sgd,7,68.39,7.13,71.33,2026-03-04T13:13:44.435815
R64_basic_adamw_s7,64,basic,adamw,7,75.5,9.96,99.56,2026-03-04T13:15:26.767813
R64_basic_sgd_s123,64,basic,sgd,123,63.97,10.2,102.0,2026-03-04T13:17:11.702554
R96_none_adamw_s42,96,none,adamw,42,76.61,10.62,106.21,2026-03-04T13:19:01.364588
R32_none_sgd_s123,32,none,sgd,123,71.33,4.44,44.43,2026-03-04T13:19:48.111521
R32_basic_sgd_s7,32,basic,sgd,7,70.31,6.84,68.37,2026-03-04T13:20:58.710189
R64_basic_adamw_s42,64,basic,adamw,42,75.76,9.82,98.17,2026-03-04T13:22:39.722314
R32_none_adamw_s7,32,none,adamw,7,77.53,4.25,42.47,2026-03-04T13:23:24.514601
R32_advanced_adam_s7,32,advanced,adam,7,76.92,16.13,161.32,2026-03-04T13:26:08.011437
R64_advanced_sgd_s7,64,advanced,sgd,7,66.06,26.27,262.68,2026-03-04T13:30:33.474839
R96_basic_adamw_s42,96,basic,adamw,42,75.5,13.24,132.36,2026-03-04T13:32:49.240083
R64_basic_adam_s7,64,basic,adam,7,75.95,9.56,95.56,2026-03-04T13:34:27.572243
R32_basic_sgd_s123,32,basic,sgd,123,70.82,6.72,67.23,2026-03-04T13:35:37.125034
R64_none_adamw_s123,64,none,adamw,123,77.94,7.71,77.08,2026-03-04T13:36:56.984352
R96_none_sgd_s7,96,none,sgd,7,65.58,10.45,104.5,2026-03-04T13:38:44.922036
R32_basic_adam_s7,32,basic,adam,7,78.64,6.72,67.19,2026-03-04T13:39:54.443343
R96_basic_adam_s42,96,basic,adam,42,75.97,13.87,138.68,2026-03-04T13:42:16.724404
R96_none_adam_s7,96,none,adam,7,74.22,10.64,106.41,2026-03-04T13:44:06.733269
R96_basic_adam_s123,96,basic,adam,123,75.94,13.19,131.91,2026-03-04T13:46:22.066444
R32_none_adamw_s123,32,none,adamw,123,79.13,4.06,40.63,2026-03-04T13:47:04.858586
R96_basic_sgd_s42,96,basic,sgd,42,62.66,13.21,132.14,2026-03-04T13:49:20.585278
R64_advanced_adamw_s123,64,advanced,adamw,123,77.17,24.74,247.42,2026-03-04T13:53:30.898113
R32_none_sgd_s7,32,none,sgd,7,71.07,5.16,51.58,2026-03-04T13:54:26.618783
R64_advanced_adam_s7,64,advanced,adam,7,76.65,24.76,247.59,2026-03-04T13:58:37.123207
R96_advanced_sgd_s7,96,advanced,sgd,7,62.34,36.56,365.6,2026-03-04T14:04:46.161836
R96_advanced_adamw_s7,96,advanced,adamw,7,74.8,36.64,366.39,2026-03-04T14:10:57.239292
R32_basic_adamw_s42,32,basic,adamw,42,78.61,6.94,69.35,2026-03-04T14:12:08.991978
R96_none_sgd_s123,96,none,sgd,123,65.55,10.46,104.61,2026-03-04T14:13:57.189883
R64_none_adam_s123,64,none,adam,123,78.9,7.72,77.15,2026-03-04T14:15:17.232438
R96_advanced_sgd_s123,96,advanced,sgd,123,57.69,36.9,369.0,2026-03-04T14:21:29.670154
R32_advanced_adamw_s123,32,advanced,adamw,123,78.63,16.94,169.41,2026-03-04T14:24:21.344289
R96_advanced_adamw_s42,96,advanced,adamw,42,75.45,37.16,371.6,2026-03-04T14:30:36.383027
R32_none_sgd_s42,32,none,sgd,42,72.16,4.2,42.04,2026-03-04T14:31:20.603011
R96_basic_adamw_s7,96,basic,adamw,7,74.96,13.5,135.04,2026-03-04T14:33:39.239775
R32_none_adam_s42,32,none,adam,42,79.53,4.48,44.83,2026-03-04T14:34:26.240205
R32_basic_adamw_s123,32,basic,adamw,123,78.3,6.51,65.1,2026-03-04T14:35:33.674060
R96_advanced_adam_s7,96,advanced,adam,7,75.47,36.86,368.64,2026-03-04T14:41:45.904412
R64_none_sgd_s123,64,none,sgd,123,67.81,7.38,73.76,2026-03-04T14:43:02.458219
R96_none_adam_s123,96,none,adam,123,76.45,10.35,103.5,2026-03-04T14:44:49.396829
R96_advanced_adamw_s123,96,advanced,adamw,123,74.74,36.42,364.25,2026-03-04T14:50:57.076832
R32_basic_adam_s123,32,basic,adam,123,78.13,6.48,64.79,2026-03-04T14:52:04.053304
R64_basic_adam_s123,64,basic,adam,123,76.2,9.74,97.42,2026-03-04T14:53:44.251946
R64_basic_adam_s42,64,basic,adam,42,76.2,10.09,100.88,2026-03-04T14:55:28.074775
R32_advanced_sgd_s7,32,advanced,sgd,7,69.95,16.39,163.89,2026-03-04T14:58:14.157624
R96_basic_adamw_s123,96,basic,adamw,123,74.58,14.32,143.16,2026-03-04T15:00:41.087515
R32_advanced_adam_s123,32,advanced,adam,123,78.94,17.21,172.06,2026-03-04T15:03:35.840003
R96_advanced_sgd_s42,96,advanced,sgd,42,62.13,36.72,367.21,2026-03-04T15:09:46.494709
R64_none_adamw_s7,64,none,adamw,7,76.36,7.02,70.21,2026-03-04T15:10:59.465646
R64_none_adam_s42,64,none,adam,42,76.88,7.02,70.2,2026-03-04T15:12:12.441719
R32_advanced_adam_s42,32,advanced,adam,42,78.25,16.47,164.7,2026-03-04T15:14:59.464327
R64_basic_adamw_s123,64,basic,adamw,123,75.75,10.16,101.63,2026-03-04T15:16:43.871726
R96_none_sgd_s42,96,none,sgd,42,65.31,10.17,101.69,2026-03-04T15:18:29.019075
R96_none_adam_s42,96,none,adam,42,76.0,10.19,101.91,2026-03-04T15:20:14.692774
R32_none_adam_s123,32,none,adam,123,79.42,4.43,44.3,2026-03-04T15:21:01.179833
R64_advanced_sgd_s123,64,advanced,sgd,123,63.29,25.36,253.56,2026-03-04T15:25:17.508246
R32_none_adamw_s42,32,none,adamw,42,79.29,4.14,41.42,2026-03-04T15:26:01.355888
R32_advanced_sgd_s123,32,advanced,sgd,123,69.8,16.62,166.24,2026-03-04T15:28:49.776342
R32_advanced_sgd_s42,32,advanced,sgd,42,70.94,16.24,162.44,2026-03-04T15:31:34.398808
R64_none_adam_s7,64,none,adam,7,76.35,7.4,73.99,2026-03-04T15:32:51.163857
R32_basic_adam_s42,32,basic,adam,42,79.02,6.49,64.91,2026-03-04T15:33:58.265059
R96_basic_adam_s7,96,basic,adam,7,73.78,13.17,131.66,2026-03-04T15:36:13.345009
R64_basic_sgd_s42,64,basic,sgd,42,65.44,10.13,101.28,2026-03-04T15:37:57.559282
R32_basic_adamw_s7,32,basic,adamw,7,78.38,6.6,66.0,2026-03-04T15:39:05.750862
R96_basic_sgd_s123,96,basic,sgd,123,60.21,12.99,129.86,2026-03-04T15:41:19.058423
R64_none_sgd_s42,64,none,sgd,42,68.14,6.96,69.59,2026-03-04T15:42:31.428316
R64_advanced_sgd_s42,64,advanced,sgd,42,65.75,25.64,256.39,2026-03-04T15:46:50.750025
R96_none_adamw_s123,96,none,adamw,123,76.5,10.68,106.79,2026-03-04T15:48:40.984381
R64_basic_sgd_s7,64,basic,sgd,7,65.53,9.83,98.32,2026-03-04T15:50:22.244144
R64_advanced_adamw_s42,64,advanced,adamw,42,76.54,25.47,254.7,2026-03-04T15:54:39.722726
R96_none_adamw_s7,96,none,adamw,7,76.53,10.31,103.1,2026-03-04T15:56:26.266433
R96_basic_sgd_s7,96,basic,sgd,7,62.61,13.34,133.43,2026-03-04T15:58:43.132542
R64_none_adamw_s42,64,none,adamw,42,78.19,6.96,69.59,2026-03-04T15:59:55.493767
R32_none_adam_s7,32,none,adam,7,77.85,4.38,43.84,2026-03-04T16:00:41.506297
R64_advanced_adamw_s7,64,advanced,adamw,7,76.95,26.02,260.2,2026-03-04T16:05:04.868758
R64_advanced_adam_s123,64,advanced,adam,123,75.58,24.89,248.88,2026-03-04T16:09:17.076753
