resolution,augmentation,optimizer,n,mean,std,se,ci_lower,ci_upper
32,none,sgd,3,71.52,0.5692978130996136,0.32868424564212717,70.87577887854142,72.16422112145857
32,none,adam,3,78.93333333333334,0.9398049443013848,0.5425966375781458,77.86984392368016,79.99682274298651
32,none,adamw,3,78.64999999999999,0.9732420048477143,0.5619015334854789,77.54867299436846,79.75132700563152
32,basic,sgd,3,70.76,0.4232020793899772,0.24433583445741275,70.28110176446347,71.23889823553654
32,basic,adam,3,78.59666666666666,0.44657959350303217,0.2578328485235693,78.09131428356046,79.10201904977286
32,basic,adamw,3,78.42999999999999,0.16093476939431178,0.09291573243177625,78.24788516443371,78.61211483556627
32,advanced,sgd,3,70.23,0.6194352266379402,0.3576310948449516,69.5290430541039,70.93095694589611
32,advanced,adam,3,78.03666666666668,1.0267586538877187,0.5927993852148522,76.87477987164557,79.19855346168778
32,advanced,adamw,3,78.06,0.5384236250388666,0.3108590248542438,77.45071631128569,78.66928368871432
64,none,sgd,3,68.11333333333333,0.2909180869821107,0.1679616358312526,67.78412852710407,68.44253813956259
64,none,adam,3,77.37666666666667,1.3455977606006002,0.7768812293037142,75.85397945723139,78.89935387610194
64,none,adamw,3,77.49666666666667,0.9922869208718474,0.572897120878706,76.37378830974441,78.61954502358893
64,basic,sgd,3,64.98,0.8758424515858996,0.5056678751908209,63.988890964625995,65.97110903537401
64,basic,adam,3,76.11666666666667,0.1443375672974054,0.08333333333333275,75.95333333333335,76.28
64,basic,adamw,3,75.67,0.147309198626568,0.08504900548115708,75.50330394925693,75.83669605074307
64,advanced,sgd,3,65.03333333333333,1.5177066031790647,0.8762483158963056,63.31588663417657,66.75078003249008
64,advanced,adam,3,76.42333333333333,0.7559320957158339,0.4364375989506147,75.56791563939012,77.27875102727654
64,advanced,adamw,3,76.88666666666667,0.3197394772831967,0.18460167328000385,76.52484738703787,77.24848594629547
96,none,sgd,3,65.48,0.1479864858694869,0.08544003745317502,65.31253752659178,65.64746247340823
96,none,adam,3,75.55666666666667,1.1792511748280459,0.6808409832291548,74.22221833953753,76.89111499379581
96,none,adamw,3,76.54666666666667,0.056862407030776746,0.032829526005989026,76.48232079569493,76.6110125376384
96,basic,sgd,3,61.82666666666666,1.4002975874196635,0.8084621890423263,60.2420807761437,63.41125255718962
96,basic,adam,3,75.23,1.255826421126742,0.7250517222929689,73.80889862430578,76.65110137569422
96,basic,adamw,3,75.01333333333334,0.46231302526894896,0.26691654958889793,74.49017689613909,75.53648977052758
96,advanced,sgd,3,60.72,2.62615688792578,1.516212386178139,57.748223723090845,63.69177627690915
96,advanced,adam,3,74.55666666666667,0.8000208330620767,0.46189224332569867,73.6513578697483,75.46197546358505
96,advanced,adamw,3,74.99666666666667,0.3937427248005192,0.22732746815503652,74.5511048290828,75.44222850425054
